GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Baches-1.0-SNAPSHOT,com.mycompany.baches.entity,Ruta,48,50,10,2,15,18,8,12,3,11
Baches-1.0-SNAPSHOT,com.mycompany.baches.entity,Estado,52,53,10,2,17,19,9,13,4,12
Baches-1.0-SNAPSHOT,com.mycompany.baches.entity,Objeto,66,59,10,2,23,21,11,15,6,14
Baches-1.0-SNAPSHOT,com.mycompany.baches.entity,TipoObjeto,30,65,6,6,11,21,8,12,3,11
Baches-1.0-SNAPSHOT,com.mycompany.baches.entity,ObjetoEstado,62,56,10,2,21,20,10,14,5,13
Baches-1.0-SNAPSHOT,com.mycompany.baches.boundary,JAXRSConfiguration,3,0,0,0,1,0,1,0,1,0
Baches-1.0-SNAPSHOT,com.mycompany.baches.resources,ObjetoEstadoResource,25,60,0,0,6,20,2,5,2,5
Baches-1.0-SNAPSHOT,com.mycompany.baches.resources,JakartaRestConfiguration,0,3,0,0,0,1,0,1,0,1
Baches-1.0-SNAPSHOT,com.mycompany.baches.resources,EstadoResource,88,0,0,0,26,0,7,0,7,0
Baches-1.0-SNAPSHOT,com.mycompany.baches.resources,JakartaEE8Resource,7,0,0,0,4,0,2,0,2,0
Baches-1.0-SNAPSHOT,com.mycompany.baches.resources,TipoObjetoResource,23,61,0,0,6,19,2,5,2,5
Baches-1.0-SNAPSHOT,com.mycompany.baches.resources,RutaResource,23,62,0,0,6,20,2,5,2,5
Baches-1.0-SNAPSHOT,com.mycompany.baches.resources,CorsFilter,24,0,0,0,6,0,2,0,2,0
Baches-1.0-SNAPSHOT,com.mycompany.baches.resources,ObjetoResource,25,60,0,0,6,20,2,5,2,5
Baches-1.0-SNAPSHOT,com.mycompany.baches.control,ObjetoEstadoBean,0,7,0,0,0,3,0,2,0,2
Baches-1.0-SNAPSHOT,com.mycompany.baches.control,ObjetoBean,50,7,8,0,12,3,6,2,2,2
Baches-1.0-SNAPSHOT,com.mycompany.baches.control,RutaBean,0,7,0,0,0,3,0,2,0,2
Baches-1.0-SNAPSHOT,com.mycompany.baches.control,AbstractDataAccess,4,244,2,28,1,86,2,22,0,9
Baches-1.0-SNAPSHOT,com.mycompany.baches.control,EstadoBean,0,7,0,0,0,3,0,2,0,2
Baches-1.0-SNAPSHOT,com.mycompany.baches.control,TipoObjetoBean,1,13,0,0,1,6,0,3,0,3
